tag,patterns,responses,content
L1044, They do to!, They do not!,
L985, I hope so., They do to!,
L984, She okay?, I hope so.,
L925, Let's go., She okay?,
L924, Wow, Let's go.,
L872, Okay -- you're gonna need to learn how to lie., Wow,
L871, No, Okay -- you're gonna need to learn how to lie.,
L870," I'm kidding.  You know how sometimes you just become this ""persona""?  And you don't know how to quit?", No,
L869, Like my fear of wearing pastels?," I'm kidding.  You know how sometimes you just become this ""persona""?  And you don't know how to quit?",
L868," The ""real you"".", Like my fear of wearing pastels?,
L867, What good stuff?," The ""real you"".",
L866, I figured you'd get to the good stuff eventually., What good stuff?,
L865, Thank God!  If I had to hear one more story about your coiffure..., I figured you'd get to the good stuff eventually.,
L864, Me.  This endless ...blonde babble. I'm like boring myself., Thank God!  If I had to hear one more story about your coiffure...,
L863, What crap?, Me.  This endless ...blonde babble. I'm like boring myself.,
L862, do you listen to this crap?, What crap?,
L861, No..., do you listen to this crap?,
L860," Then Guillermo says ""If you go any lighter you're gonna look like an extra on 90210.""", No...,
L699, You always been this selfish?," Then Guillermo says ""If you go any lighter you're gonna look like an extra on 90210.""",
L698, But, You always been this selfish?,
L697, Then that's all you had to say., But,
L696, Well no..., Then that's all you had to say.,
L695, You never wanted to go out with 'me did you?, Well no...,
L694, I was?, You never wanted to go out with 'me did you?,
L693," I looked for you back at the party but you always seemed to be ""occupied"".", I was?,
L663, Tons," I looked for you back at the party but you always seemed to be ""occupied"".",
L662, Have fun tonight?, Tons,
L578, I believe we share an art instructor, Have fun tonight?,
L577, You know Chastity?, I believe we share an art instructor,
L576, Looks like things worked out tonight huh?, You know Chastity?,
L575, Hi., Looks like things worked out tonight huh?,
L407, Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes., Hi.,
L406, So that's the kind of guy she likes? Pretty ones?, Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.,
L405, Lesbian?  No. I found a picture of Jared Leto in one of her drawers so I'm pretty sure she's not harboring same-sex tendencies., So that's the kind of guy she likes? Pretty ones?,
L404, She's not a..., Lesbian?  No. I found a picture of Jared Leto in one of her drawers so I'm pretty sure she's not harboring same-sex tendencies.,
L403, I'm workin' on it. But she doesn't seem to be goin' for him., She's not a...,
L402, I really really really wanna go but I can't.  Not unless my sister goes., I'm workin' on it. But she doesn't seem to be goin' for him.,
L401, Sure have., I really really really wanna go but I can't.  Not unless my sister goes.,
L368, Eber's Deep Conditioner every two days. And I never ever use a blowdryer without the diffuser attachment., Sure have.,
L367, How do you get your hair to look like that?, Eber's Deep Conditioner every two days. And I never ever use a blowdryer without the diffuser attachment.,
L366, You're sweet., How do you get your hair to look like that?,
L365, You have my word.  As a gentleman, You're sweet.,
L364, I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?, You have my word.  As a gentleman,
L363, You got something on your mind?, I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,
L281, Where?, You got something on your mind?,
L280, There., Where?,
L277, Well there's someone I think might be --, There.,
L276, How is our little Find the Wench A Date plan progressing?, Well there's someone I think might be --,
L275, Forget French., How is our little Find the Wench A Date plan progressing?,
L274, That's because it's such a nice one., Forget French.,
L273, I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone., That's because it's such a nice one.,
L272, Right.  See?  You're ready for the quiz., I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.,
L271, C'esc ma tete. This is my head, Right.  See?  You're ready for the quiz.,
L208, Let me see what I can do., C'esc ma tete. This is my head,
L207, Gosh if only we could find Kat a boyfriend..., Let me see what I can do.,
L206, That's a shame., Gosh if only we could find Kat a boyfriend...,
L205, Unsolved mystery.  She used to be really popular when she started high school then it was just like she got sick of it or something., That's a shame.,
L204, Why?, Unsolved mystery.  She used to be really popular when she started high school then it was just like she got sick of it or something.,
L203, Seems like she could get a date easy enough..., Why?,
L202, The thing is Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does., Seems like she could get a date easy enough...,
L201, Cameron., The thing is Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.,
L200, No no it's my fault -- we didn't have a proper introduction ---, Cameron.,
L199, Forget it., No no it's my fault -- we didn't have a proper introduction ---,
L198, You're asking me out.  That's so cute. What's your name again?, Forget it.,
L197, Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?, You're asking me out.  That's so cute. What's your name again?,
L196, Not the hacking and gagging and spitting part.  Please., Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?,
L195, Well I thought we'd start with pronunciation if that's okay with you., Not the hacking and gagging and spitting part.  Please.,
L194, Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again., Well I thought we'd start with pronunciation if that's okay with you.,
L953, I did., Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.,
L952, You think you ' re the only sophomore at the prom?, I did.,
L660, I don't have to be home 'til two., You think you ' re the only sophomore at the prom?,
L659, I have to be home in twenty minutes., I don't have to be home 'til two.,
L600, All I know is -- I'd give up my private line to go out with a guy like Joey., I have to be home in twenty minutes.,
L599, Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?, All I know is -- I'd give up my private line to go out with a guy like Joey.,
L598, Bianca I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding., Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with you know?,
L597, Combination.  I don't know -- I thought he'd be different.  More of a gentleman..., Bianca I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.,
L596, Is he oily or dry?, Combination.  I don't know -- I thought he'd be different.  More of a gentleman...,
L595, He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all but he's not exactly relevant party conversation., Is he oily or dry?,
L580, Would you mind getting me a drink Cameron?, He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all but he's not exactly relevant party conversation.,
L579, Great, Would you mind getting me a drink Cameron?,
L573, Joey., Great,
L572, Who?, Joey.,
L571, Where did he go?  He was just here., Who?,
L51, You might wanna think about it, Where did he go?  He was just here.,
L50, No., You might wanna think about it,
L49, Did you change your hair?, No.,
L760, You know the deal.  I can ' t go if Kat doesn't go --, Did you change your hair?,
L759, Listen I want to talk to you about the prom., You know the deal.  I can ' t go if Kat doesn't go --,
L758, You're concentrating awfully hard considering it's gym class., Listen I want to talk to you about the prom.,
L757, Hi Joey., You're concentrating awfully hard considering it's gym class.,
L756, Hey sweet cheeks., Hi Joey.,
L593, My agent says I've got a good shot at being the Prada guy next year., Hey sweet cheeks.,
L592, Neat..., My agent says I've got a good shot at being the Prada guy next year.,
L591, It's a gay cruise line but I'll be like wearing a uniform and stuff., Neat...,
L590, Queen Harry?, It's a gay cruise line but I'll be like wearing a uniform and stuff.,
L589," So yeah I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.", Queen Harry?,
L397, Hopefully.," So yeah I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.",
L396, Exactly  So you going to Bogey Lowenbrau's thing on Saturday?, Hopefully.,
L395, Expensive?, Exactly  So you going to Bogey Lowenbrau's thing on Saturday?,
L394, It's more, Expensive?,
L1052, Perm?, It's more,
L1051, Patrick -- is that- a., Perm?,
L1022, It's just you., Patrick -- is that- a.,
L1021, Is that woman a complete fruit-loop or is it just me?, It's just you.,
L1011, No! I just wanted, Is that woman a complete fruit-loop or is it just me?,
L1010, What? To completely damage me?  To send me to therapy forever? What?, No! I just wanted,
L1009, I just wanted --, What? To completely damage me?  To send me to therapy forever? What?,
L1008, You set me up., I just wanted --,
L1007, Let go!, You set me up.,
L983, So did you, Let go!,
L982, You looked beautiful last night you know., So did you,
L914, I guess I'll never know will I?, You looked beautiful last night you know.,
L913, Not all experiences are good Bianca. You can't always trust the people you want to., I guess I'll never know will I?,
L912, God you're just like him! Just keep me locked away in the dark so I can't experience anything for myself, Not all experiences are good Bianca. You can't always trust the people you want to.,
L911, I guess I thought I was protecting you., God you're just like him! Just keep me locked away in the dark so I can't experience anything for myself,
L910, I'm not stupid enough to repeat your mistakes., I guess I thought I was protecting you.,
L909, That's not, I'm not stupid enough to repeat your mistakes.,
L908, No. you didn't!  If you really thought I could make my own decisions you would've let me go out with him instead of helping Daddy hold me hostage., That's not,
L907, I wanted to let you make up your own mind about him., No. you didn't!  If you really thought I could make my own decisions you would've let me go out with him instead of helping Daddy hold me hostage.,
L906, Why didn't you tell me?, I wanted to let you make up your own mind about him.,
L905," After that I swore I'd never do anything just because ""everyone else"" was doing it.  And I haven't since. Except for Bogey's party and my stunning gastro-intestinal display --", Why didn't you tell me?,
L904, But," After that I swore I'd never do anything just because ""everyone else"" was doing it.  And I haven't since. Except for Bogey's party and my stunning gastro-intestinal display --",
L903, Just once.  Afterwards I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me., But,
L902, You did what?, Just once.  Afterwards I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.,
L901, He said everyone was doing it.  So I did it., You did what?,
L900, As in..., He said everyone was doing it.  So I did it.,
L899, Now I do.  Back then was a different story., As in...,
L898, But you hate Joey, Now I do.  Back then was a different story.,
L897, He was like a total babe, But you hate Joey,
L896, Why?, He was like a total babe,
L895, In 9th.  For a month, Why?,
L894, What?, In 9th.  For a month,
L893, Joey never told you we went out did he?, What?,
L892, I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go because you won ' t., Joey never told you we went out did he?,
L891, I do care. But I'm a firm believer in doing something for your own reasons not someone else ' s ., I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go because you won ' t.,
L890, Like you care., I do care. But I'm a firm believer in doing something for your own reasons not someone else ' s .,
L889, Listen I know you hate having to sit home because I'm not Susie High School., Like you care.,
L656, You're welcome., Listen I know you hate having to sit home because I'm not Susie High School.,
L655, I don't get you.  You act like you're too good for any of this and then you go totally apeshit when you get here., You're welcome.,
L602, I really don't think I need any social advice from you right now., I don't get you.  You act like you're too good for any of this and then you go totally apeshit when you get here.,
L601, Bianca I need to talk to you -- I need to tell you --, I really don't think I need any social advice from you right now.,
L543, Can we go now?, Bianca I need to talk to you -- I need to tell you --,
L542, You are so completely unbalanced., Can we go now?,
L533, Yeah he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out I should obsess over a dead guy too., You are so completely unbalanced.,
L532, It's Shakespeare.  Maybe you've heard of him?, Yeah he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out I should obsess over a dead guy too.,
L531, Like I'm supposed to know what that even means., It's Shakespeare.  Maybe you've heard of him?,
L530, At least I'm not a clouted fen- sucked hedge-pig., Like I'm supposed to know what that even means.,
L529, Can't you forget for just one night that you're completely wretched?, At least I'm not a clouted fen- sucked hedge-pig.,
L527, Bogey Lowenstein's party is normal but you're too busy listening to Bitches Who Need Prozac to know that., Can't you forget for just one night that you're completely wretched?,
L526, What's normal?, Bogey Lowenstein's party is normal but you're too busy listening to Bitches Who Need Prozac to know that.,
L525, You're ruining my life'  Because you won't be normal I can't be normal., What's normal?,
L445, I think you're a freak.  I think you do this to torture me.  And I think you suck., You're ruining my life'  Because you won't be normal I can't be normal.,
L444, What do you think?, I think you're a freak.  I think you do this to torture me.  And I think you suck.,
L443, Oh I thought you might have a date  I don't know why I'm bothering to ask but are you going to Bogey Lowenstein's party Saturday night?, What do you think?,
L442, It means that Gigglepuss is playing at Club Skunk and we're going., Oh I thought you might have a date  I don't know why I'm bothering to ask but are you going to Bogey Lowenstein's party Saturday night?,
